Result ID,Check,Cell,Priority,Flat Placement Count,Type,Fixed,Waived,Waived Comment,Waived By,Waived Date,Vertex Count,Coordinates
0,DENSITY_PRINT_FILES,,,,,,,,,,,
1,M1.DN.4,DigAna,0,1,P,0,0,,,,10,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (423.435 -255.19) (423.435 -5.19) (-76.565 -5.19) (-76.565 -255.19) (-326.565 -255.19) 
2,M2.DN.4,DigAna,0,1,P,0,0,,,,6,(-326.565 -755.19) (173.435 -755.19) (173.435 -255.19) (-76.565 -255.19) (-76.565 -505.19) (-326.565 -505.19) 
3,M2.DN.4,DigAna,0,1,P,0,0,,,,4,(173.435 -255.19) (423.435 -255.19) (423.435 -5.19) (173.435 -5.19) 
4,M3.DN.4,DigAna,0,1,P,0,0,,,,10,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (423.435 -255.19) (423.435 -5.19) (-76.565 -5.19) (-76.565 -255.19) (-326.565 -255.19) 
5,M4.DN.4,DigAna,0,1,P,0,0,,,,6,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (-326.565 -255.19) 
6,M5.DN.4,DigAna,0,1,P,0,0,,,,6,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (-326.565 -255.19) 
7,M6.DN.4,DigAna,0,1,P,0,0,,,,6,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (-326.565 -255.19) 
8,M7.DN.4,DigAna,0,1,P,0,0,,,,6,(-326.565 -755.19) (423.435 -755.19) (423.435 -505.19) (173.435 -505.19) (173.435 -255.19) (-326.565 -255.19) 
9,M8.DN.5L,DigAna,0,1,P,0,0,,,,14,(-226.565 -555.19) (-26.565 -555.19) (-26.565 -655.19) (373.435 -655.19) (373.435 -555.19) (473.435 -555.19) (473.435 -155.19) (373.435 -155.19) (373.435 -55.19) (-26.565 -55.19) (-26.565 -155.19) (-126.565 -155.19) (-126.565 -255.19) (-226.565 -255.19) 
10,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -562.705) (-236.29 -562.28) (-236.29 -561.55) (-237.195 -561.125) 
11,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -559.355) (-236.29 -558.93) (-236.29 -558.2) (-237.195 -557.775) 
12,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -556.005) (-236.29 -555.58) (-236.29 -554.85) (-237.195 -554.425) 
13,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -552.655) (-236.29 -552.23) (-236.29 -551.5) (-237.195 -551.075) 
14,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -549.305) (-236.29 -548.88) (-236.29 -548.15) (-237.195 -547.725) 
15,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -545.955) (-236.29 -545.53) (-236.29 -544.8) (-237.195 -544.375) 
16,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -542.605) (-236.29 -542.18) (-236.29 -541.45) (-237.195 -541.025) 
17,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.195 -539.255) (-236.29 -538.83) (-236.29 -538.1) (-237.195 -537.675) 
18,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -562.88) (-220.8 -562.88) (-221.6 -562.28) (-236.29 -562.28) 
19,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-221.6 -562.28) (-220.695 -562.705) (-220.695 -561.125) (-221.6 -561.55) 
20,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -560.95) (-236.29 -561.55) (-221.6 -561.55) (-220.8 -560.95) 
21,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -559.53) (-220.8 -559.53) (-221.6 -558.93) (-236.29 -558.93) 
22,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-221.6 -558.93) (-220.695 -559.355) (-220.695 -557.775) (-221.6 -558.2) 
23,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -557.6) (-236.29 -558.2) (-221.6 -558.2) (-220.8 -557.6) 
24,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -556.18) (-220.8 -556.18) (-221.6 -555.58) (-236.29 -555.58) 
25,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-221.6 -555.58) (-220.695 -556.005) (-220.695 -554.425) (-221.6 -554.85) 
26,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -554.25) (-236.29 -554.85) (-221.6 -554.85) (-220.8 -554.25) 
27,ESD.22g,DigAna,0,1,P,0,0,,,,4,(-237.09 -552.83) (-220.8 -552.83) (-221.6 -552.23) (-236.29 -552.23) 
